mesa;mesa_con_acento;URL;Direccion
Bellas Artes - PD;Bellas Artes - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=302;302
CC. Biologicas - PD;CC. Biológicas - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=303;303
CC. de la Documentacion - PD;CC. de la Documentación - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=304;304
CC. de la Informacion - PD;CC. de la Información - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=305;305
CC. Economicas y Empresariales - PD;CC. Económicas y Empresariales - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=306;306
CC. Fisicas - PD;CC. Físicas - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=307;307
CC. Geologicas - PD;CC. Geológicas - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=308;308
CC. Matematicas - PD;CC. Matemáticas - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=309;309
CC. Politicas y Sociologia - PD;CC. Políticas y Sociología - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=310;310
CC. Quimicas - PD;CC. Químicas - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=311;311
Comercio y Turismo - PD;Comercio y Turismo - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=312;312
Derecho - PD;Derecho - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=313;313
Educacion - PD;Educación - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=314;314
Enfermeria, Fisioterapia y Podologia - PD;Enfermería, Fisioterapia y Podología - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=315;315
Estudios Estadisticos - PD;Estudios Estadísticos - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=316;316
Farmacia - PD;Farmacia - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=317;317
Filologia - PD;Filología - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=318;318
Filosofia - PD;Filosofía - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=319;319
Geografia e Historia - PD;Geografía e Historia - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=320;320
Informatica - PD;Informática - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=321;321
Medicina - PD;Medicina - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=322;322
Odontologia - PD;Odontología - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=323;323
optica y Optometria - PD;Óptica y Optometría - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=324;324
Psicologia - PD;Psicología - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=325;325
Trabajo Social - PD;Trabajo Social - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=326;326
Veterinaria - PD;Veterinaria - PD;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=327;327
CC. Quimicas - PDI-DC;CC. Químicas - PDI-DC;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=368;368
Filosofia - PDI-DC;Filosofía - PDI-DC;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=372;372
Odontologia - PDI-DC;Odontología - PDI-DC;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=376;376
Psicologia - PDI-DC;Psicología - PDI-DC;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=382;382
Rectorado - PDI-DC;Rectorado - PDI-DC;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=385;385
CC. Quimicas - PDI-DP;CC. Químicas - PDI-DP;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=369;369
Filosofia - PDI-DP;Filosofía - PDI-DP;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=373;373
Odontologia - PDI-DP-1;Odontología - PDI-DP-1;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=377;377
Odontologia - PDI-DP-2;Odontología - PDI-DP-2;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=378;378
Psicologia - PDI-DP;Psicología - PDI-DP;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=383;383
Rectorado - PDI-DP;Rectorado - PDI-DP;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=386;386
Bellas Artes - EST;Bellas Artes - EST;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=334;334
CC. Biologicas - EST;CC. Biológicas - EST;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=335;335
CC. de la Documentacion - EST;CC. de la Documentación - EST;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=336;336
CC. de la Informacion - EST-1;CC. de la Información - EST-1;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=337;337
CC. de la Informacion - EST-2;CC. de la Información - EST-2;https://www.ucm.es/elecciones/rector-2015-vuelta1/mesas/?mid=364;364
